"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16700","Verify newly created temp using getTemp CC method","","2026-04-26","passed","2026-04-26","","","",""
"","3256","Create a shift fully by clearconnect","","2026-04-26","passed","2026-04-26","","","",""
"","8392","Create a Assignment by clearconnect","","2026-04-26","passed","2026-04-26","","","",""
"","45929","Create a Ratesheet with Taxable item","","2026-04-26","broken","2026-04-26","","","",""
"","17546","Create a Ratesheet","","2026-04-26","passed","2026-04-26","","","",""
"","5253","Valid login","","2026-04-26","passed","2026-04-26","","","",""
"","67473","Create a shift in UI","","2026-04-26","broken","2026-04-26","","","",""
"","16926","Enable Flat Pay and Bill for Temp","","2026-04-26","passed","2026-04-26","","","",""
"","14640","Create a client in UI","","2026-04-26","passed","2026-04-26","","","",""
"","15543","Verify subnav links in client profile","","2026-04-26","passed","2026-04-26","","","",""
"","17740","Verify subnav links in temp profile","","2026-04-26","passed","2026-04-26","","","",""
"","9730","Timecard reconcile","","2026-04-26","passed","2026-04-26","","","",""
"","28526","Create a shift by clearconnect","","2026-04-26","passed","2026-04-26","","","",""
"","15705","Create a temp in UI","","2026-04-26","passed","2026-04-26","","","",""
